Jeremy Lin,Tor,G,30.81,1.1,0.4,0.5,0.13,0,0.63
Malcolm Brogdon,Mil,G,26.51,13,4.9,3.4,0.71,0.14,1.43
Patrick Beverley,Lac,G,30.92,9.8,8,4.7,1,0.83,1.67
Danilo Gallinari,Lac,F,30.85,19.8,6.2,2.7,1.33,0.17,2
Shai Gilgeous-Alexander,Lac,G,20.92,13.7,2.7,3.2,1,0.83,0.83
JaMychal Green,Lac,F,28.98,11,5.3,0.8,0.67,0,1.83
Montrezl Harrell,Lac,F-C,25.38,18.3,5.5,2.2,0.5,0.67,1.33
Landry Shamet,Lac,G,22.26,7.7,2,1.7,1,0,1.17
Garrett Temple,Lac,G-F,33.1,2.3,1.2,0.3,0.5,0.17,0.33
Lou Williams,Lac,G,32.63,21.7,2.8,7.7,0.83,0.17,3
Lonnie Walker IV,San,G,20.5,1,0.3,0.5,0,0,0
Kenneth Faried,Hou,F-C,29.57,4,3.5,0.3,0.33,0,0
Semi Ojeleye,Bos,F,24.52,2.2,0.3,0.3,0,0,0.17
Jake Layman,Por,F,25.27,0.8,0.7,0,0,0,0
Jarrett Allen,Bro,C,21.15,11,6.8,2.2,0.6,0.6,1.6
DeMarre Carroll,Bro,F,32.88,6.6,4,0.4,0.8,0,0.6
Spencer Dinwiddie,Bro,G,26.19,14.6,2.6,1.6,0.4,0,1.6
Treveon Graham,Bro,F,25.63,1.4,2.2,0.6,0.4,0.2,0.6
Joe Harris,Bro,G-F,27.77,8.8,4.2,0.6,0.6,0,1.8
Caris LeVert,Bro,G,24.8,21,4.6,3,1,0.4,2
D'Angelo Russell,Bro,G,23.3,19.4,3.6,3.6,1.4,0.2,2.8
Davis Bertans,San,F,26.58,3.2,1.6,1,0,0.2,0.2
D.J. Augustin,Orl,G,31.59,12.8,1.6,3.8,0.4,0.2,1.4
Khem Birch,Orl,C,26.71,5.2,6.2,0.8,0.2,1,1.2
Michael Carter-Williams,Orl,G,27.68,6.6,4,2.4,0.6,0,1.6
Evan Fournier,Orl,G-F,26.62,12.4,3.2,2,1.4,0,2.4
Aaron Gordon,Orl,F,23.74,15.2,7.2,3.6,1.2,0.2,2.6
Jonathan Isaac,Orl,F,21.7,6.6,6.2,0.4,0.4,1,1
Wes Iwundu,Orl,F,24.48,4.8,1.4,0.8,0.6,0,0.4
Terrence Ross,Orl,G-F,28.35,13.2,3.6,1.4,1.2,0.4,2
Nikola Vucevic,Orl,C,28.64,11.2,8,3,0.4,1,2.6
Steven Adams,Okc,C,25.9,11.8,7.2,1.4,1,1,1.8
Raymond Felton,Okc,G,34.97,2.2,0.6,0.6,0.8,0.2,0.4
Terrance Ferguson,Okc,G,21.08,5,2.4,1.2,0.4,0,1
Paul George,Okc,F,29.12,28.6,8.6,3.6,1.4,0.2,4
Jerami Grant,Okc,F,25.26,11.6,5.6,0.8,0.6,2,0.8
Markieff Morris,Okc,F,29.78,3.8,2.6,1,0.2,0.6,0.4
Nerlens Noel,Okc,F-C,25.18,4.8,3.8,0,0.4,0.6,1
Dennis Schroder,Okc,G,25.75,13.8,3.2,3.4,0.8,0,1.2
Russell Westbrook,Okc,G,30.58,22.8,8.8,10.6,1,0.6,4.6
Jae Crowder,Uta,F,28.94,11.4,5.8,0.8,1,0,0.2
Derrick Favors,Uta,F-C,27.92,11.8,7.4,0.8,0.8,1.8,1
Rudy Gobert,Uta,C,26.97,11.2,10.2,1.4,0.6,2.6,1.8
Joe Ingles,Uta,F,31.7,6.4,4.8,5,2.2,0,1.6
